iter	Passed	Remaining
400	28282	6982
401	28376	6917
402	28443	6846
403	28535	6780
404	28605	6710
405	28706	6646
406	28762	6572
407	28858	6507
408	28977	6447
409	29046	6376
410	29130	6308
411	29199	6236
412	29324	6177
413	29400	6107
414	29477	6037
415	29554	5967
416	29646	5900
417	29735	5833
418	29798	5760
419	29902	5695
420	29962	5622
421	30046	5553
422	30118	5482
423	30206	5414
424	30268	5341
425	30330	5268
426	30394	5196
427	30468	5125
428	30587	5062
429	30662	4991
430	30772	4926
431	30828	4852
432	30936	4786
433	31056	4722
434	31153	4655
435	31231	4584
436	31308	4513
437	31396	4444
438	31458	4371
439	31522	4298
440	31628	4231
441	31745	4165
442	31829	4095
443	31916	4025
444	31985	3953
445	32054	3881
446	32109	3807
447	32200	3737
448	32292	3667
449	32366	3596
450	32454	3526
451	32512	3452
452	32576	3379
453	32642	3307
454	32705	3234
455	32777	3162
456	32862	3092
457	32938	3020
458	33017	2949
459	33090	2877
460	33161	2805
461	33240	2734
462	33357	2665
463	33461	2596
464	33564	2526
465	33659	2455
466	33729	2383
467	33843	2314
468	33910	2241
469	33979	2168
470	34055	2096
471	34160	2026
472	34221	1953
473	34282	1880
474	34373	1809
475	34482	1738
476	34558	1666
477	34644	1594
478	34757	1523
479	34854	1452
480	34976	1381
481	35042	1308
482	35102	1235
483	35173	1162
484	35298	1091
485	35375	1019
486	35472	946
487	35522	873
488	35578	800
489	35689	728
490	35776	655
491	35877	583
492	35992	511
493	36044	437
494	36154	365
495	36256	292
496	36326	219
497	36432	146
498	36519	73
499	36637	0
