iter	RMSE
319	5944875.089
320	5944868.753
321	5941525.009
322	5938392.882
323	5930132.194
324	5924899.825
325	5922806.307
326	5918976.619
327	5918883.087
328	5916215.833
329	5913793.571
330	5911869.26
331	5911857.821
332	5909340.028
333	5904558.026
334	5902009.419
335	5899621.095
336	5895129.754
337	5888069.044
338	5888063.794
339	5885744.179
340	5885738.712
341	5885666.18
342	5885600.594
343	5878155.128
344	5878151.283
345	5868094.336
346	5868090.737
347	5868087.479
348	5865240.525
349	5857258.752
350	5857255.225
351	5857252.033
352	5857249.144
353	5850450.064
354	5848975.771
355	5847026.357
356	5847023.533
357	5846970.122
358	5843978.02
359	5839884.751
360	5838018.372
361	5836355.413
362	5833912.89
363	5832412.738
364	5823441.431
365	5823438.011
366	5821663.816
367	5821269.782
368	5819619.277
369	5819615.668
370	5819612.403
371	5819557.736
372	5817747.206
373	5812291.417
374	5807306.41
375	5807303.825
376	5804190.476
377	5803185.586
378	5798113.661
379	5797598.79
380	5790072.985
381	5787923.061
382	5787879.841
383	5786829.497
384	5781395.263
385	5779845.539
386	5777340.935
387	5758032.12
388	5756604.363
389	5755248.475
390	5753209.511
391	5752661.964
392	5750654.998
393	5750444.273
394	5743413.305
395	5741896.207
396	5735069.028
397	5727138.508
398	5724412.358
399	5720890.883
400	5717969.963
401	5716195.556
402	5713685.686
403	5702309.846
404	5698611.932
405	5697269.593
406	5694390.356
407	5684106.51
408	5681821.741
409	5678362.52
410	5673507.951
411	5663804.567
412	5646278.362
413	5643618.764
414	5642019.39
415	5639054.144
416	5639020.617
417	5631819.532
418	5631173.465
419	5624996.392
420	5618445.623
421	5610930.19
422	5607378.405
423	5605960.997
424	5604622.651
425	5603358.757
426	5593879.062
427	5592349.122
428	5586538.758
429	5577813.168
430	5577787.699
431	5577764.109
432	5574471.877
433	5567407.764
434	5565125.296
435	5562004.451
436	5558841.208
437	5553232.888
438	5553212.189
439	5553192.96
440	5552910.666
441	5551866.487
442	5549156.579
443	5548824.361
444	5540792.125
445	5539552.396
446	5539534.529
447	5539271.583
448	5536573.219
449	5533186.83
450	5530056.865
451	5528909.429
452	5528890.021
453	5528644.617
454	5526099.295
455	5518552.048
456	5517778.781
457	5516008.092
458	5513801.529
459	5506305.076
460	5505204.658
461	5496731.508
462	5493238.448
463	5488129.672
464	5478628.855
465	5476507.95
466	5474149.212
467	5469233.287
468	5469229.948
469	5468843.616
470	5468563.404
471	5465629.864
472	5463393.166
473	5463034.768
474	5461710.691
475	5460367.056
476	5457233.198
477	5457209.578
478	5449455.774
479	5444642.475
480	5438303.342
481	5437937.34
482	5437596.796
483	5437485.594
484	5429659.923
485	5423068.981
486	5417675.697
487	5417672.691
488	5417351.15
489	5416390.584
490	5413472.054
491	5408854.561
492	5407694.168
493	5407597.112
494	5407372.895
495	5406071.15
496	5398958.71
497	5398743.383
498	5394258.721
499	5393195.003
